Category,Manufacturer,Medicine_Form,Price,Current_Stock,Quantity_Sold,Supplier_Name,Supplier_Lead_Time,Days_To_Expiry,Season,Month,Is_Festival,Avg_Last_7_Days_Sales,Avg_Last_30_Days_Sales,Safety_Stock,Reorder_Level,Storage_Requirements,Stock_to_Safety_Ratio,Sales_Velocity,Future_Demand
0,3,0,49.41,248,22,3,5,723,2,1,0,26,32,52,32,2,4.679245283018868,0.10441767068273092,28
5,3,0,219.86,159,33,1,10,202,1,5,0,31,34,44,60,0,3.533333333333333,0.19375,40
1,5,0,410.5,183,21,0,8,1024,0,6,0,26,11,78,95,0,2.3164556962025316,0.14130434782608695,29
5,2,3,156.68,39,10,4,4,682,2,2,0,14,13,76,66,1,0.5064935064935064,0.35,11
4,4,1,82.18,265,44,2,14,849,2,1,0,49,46,45,52,2,5.760869565217392,0.18421052631578946,52
3,0,0,61.98,440,12,4,14,166,1,5,0,10,11,32,92,1,13.333333333333334,0.022675736961451247,13
0,0,2,127.2,349,37,3,4,223,1,3,0,39,46,44,43,1,7.7555555555555555,0.11142857142857143,43
5,2,3,458.29,484,32,0,7,934,1,3,0,36,39,71,62,2,6.722222222222222,0.07422680412371134,35
7,1,3,346.55,316,11,1,5,353,1,3,1,12,12,71,59,0,4.388888888888889,0.03785488958990536,17
6,3,2,356.47,78,37,1,11,540,1,4,0,42,27,46,59,0,1.6595744680851063,0.5316455696202531,44
2,4,0,450.78,377,49,0,10,522,1,4,0,51,59,54,73,1,6.8545454545454545,0.1349206349206349,52
5,2,3,156.68,190,41,4,11,414,2,2,0,38,39,79,72,1,2.375,0.19895287958115182,40
4,5,3,357.54,137,37,3,4,459,0,6,0,35,42,49,46,2,2.74,0.2536231884057971,40
5,2,3,156.68,459,59,4,10,229,1,3,0,64,50,70,91,1,6.464788732394366,0.1391304347826087,64
6,4,1,346.07,99,26,1,8,591,2,2,0,25,34,62,44,1,1.5714285714285714,0.25,28
6,5,3,467.69,271,52,2,6,219,1,5,0,56,56,27,44,0,9.678571428571429,0.20588235294117646,58
2,5,2,325.92,273,38,3,14,669,2,2,0,41,33,46,60,0,5.808510638297872,0.14963503649635038,39
0,1,2,184.21,354,51,3,2,333,0,7,0,49,44,38,98,1,9.076923076923077,0.13802816901408452,53
6,0,1,444.0,468,24,1,9,115,2,1,0,22,27,46,88,0,9.957446808510639,0.046908315565031986,30
6,0,2,292.13,130,20,2,6,350,2,1,0,25,10,61,90,0,2.096774193548387,0.19083969465648856,19
5,2,3,156.68,289,7,4,4,905,2,2,1,6,4,74,97,1,3.8533333333333335,0.020689655172413793,10
4,3,1,437.94,362,52,2,13,711,1,5,0,47,44,24,85,1,14.48,0.12947658402203857,52
5,3,0,219.86,473,14,1,12,675,1,5,0,16,5,65,74,0,7.166666666666667,0.03375527426160337,18
7,1,1,357.75,499,20,0,3,767,2,1,0,17,12,44,82,2,11.088888888888889,0.034,26
2,0,2,398.04,434,42,0,5,815,2,2,0,42,33,60,82,0,7.114754098360656,0.09655172413793103,41
7,1,1,362.34,314,19,1,3,350,1,4,0,19,26,26,98,2,11.62962962962963,0.06031746031746032,29
1,2,1,446.05,331,59,0,7,476,0,7,0,56,50,39,30,1,8.275,0.1686746987951807,57
7,1,1,362.34,379,12,1,4,1005,1,3,0,8,18,53,88,2,7.018518518518518,0.021052631578947368,18
3,4,3,204.5,76,43,3,7,397,1,4,0,48,51,25,97,1,2.923076923076923,0.6233766233766234,48
7,1,3,94.68,70,42,4,9,199,2,2,0,46,49,21,84,2,3.1818181818181817,0.647887323943662,51
0,4,3,20.27,389,17,2,7,341,1,4,0,15,12,30,30,0,12.548387096774194,0.038461538461538464,22
2,5,2,325.92,227,37,3,2,242,1,4,0,35,44,48,87,0,4.63265306122449,0.15350877192982457,43
1,2,1,244.64,443,30,1,6,671,0,6,0,35,31,33,32,1,13.029411764705882,0.07882882882882883,37
5,1,0,477.89,484,30,4,9,326,0,6,0,25,28,64,64,0,7.446153846153846,0.05154639175257732,29
0,3,2,226.22,416,48,4,14,225,0,6,0,52,55,59,84,2,6.933333333333334,0.12470023980815348,55
5,0,2,467.1,419,9,1,11,428,1,5,0,5,5,35,72,1,11.63888888888889,0.011904761904761904,11
4,4,3,305.04,313,35,3,14,525,2,2,0,35,42,46,67,0,6.659574468085107,0.11146496815286625,38
1,3,1,345.21,161,42,2,4,589,0,7,0,43,49,24,31,2,6.44,0.2654320987654321,50
6,1,3,14.44,301,37,3,11,756,2,2,0,40,30,52,92,1,5.679245283018868,0.13245033112582782,40
1,1,1,424.58,119,7,1,12,636,0,6,0,9,1,40,44,0,2.902439024390244,0.075,15
1,2,2,70.79,238,27,0,8,139,2,2,0,22,37,34,47,2,6.8,0.09205020920502092,32
1,2,0,82.18,133,6,1,4,622,2,1,0,9,9,74,74,2,1.7733333333333334,0.06716417910447761,12
6,2,1,259.78,430,58,2,5,612,0,6,0,63,62,52,96,1,8.11320754716981,0.14617169373549885,65
4,4,3,305.04,301,15,3,4,706,1,3,0,10,5,24,46,0,12.04,0.033112582781456956,12
0,3,1,41.1,121,14,1,9,271,1,5,1,12,23,36,93,2,3.27027027027027,0.09836065573770492,22
1,1,1,424.58,127,32,1,12,151,1,4,0,31,39,54,87,0,2.309090909090909,0.2421875,40
0,0,3,259.97,206,13,0,9,197,1,5,0,10,16,65,46,1,3.121212121212121,0.04830917874396135,13
7,1,2,188.49,266,5,4,6,255,1,3,0,3,9,67,68,2,3.911764705882353,0.011235955056179775,11
0,4,3,20.27,98,15,2,11,833,1,4,0,14,17,46,63,0,2.0851063829787235,0.1414141414141414,23
3,3,3,348.06,403,6,4,2,591,1,3,0,4,1,49,30,0,8.06,0.009900990099009901,10
0,3,0,49.41,30,47,3,3,685,0,7,0,42,44,53,42,2,0.5555555555555556,1.3548387096774193,48
1,2,1,446.05,34,35,0,12,528,2,1,0,35,42,64,70,1,0.5230769230769231,1.0,43
4,1,1,297.94,193,24,1,9,619,1,5,0,19,33,79,75,1,2.4125,0.0979381443298969,31
2,2,1,323.23,174,12,4,5,873,1,4,0,17,22,41,46,1,4.142857142857143,0.09714285714285714,24
2,0,2,291.67,369,34,1,3,815,1,4,0,39,37,60,43,1,6.049180327868853,0.10540540540540541,45
0,0,2,441.14,252,7,3,2,751,2,1,0,10,17,62,56,1,4.0,0.039525691699604744,9
5,2,3,458.29,293,13,0,7,901,2,1,1,17,10,29,94,2,9.766666666666667,0.05782312925170068,21
2,3,2,142.33,207,23,2,4,736,1,4,0,24,20,34,45,2,5.914285714285715,0.11538461538461539,25
2,0,0,449.03,306,9,3,8,753,1,4,0,5,13,54,94,1,5.5636363636363635,0.016286644951140065,16
4,1,1,129.97,117,44,2,4,756,1,4,0,43,48,45,54,0,2.5434782608695654,0.3644067796610169,46
4,4,3,305.04,133,21,3,10,707,2,2,0,16,15,75,93,0,1.75,0.11940298507462686,25
2,0,3,246.09,106,37,0,12,768,1,3,0,35,34,57,68,0,1.8275862068965518,0.32710280373831774,38
0,1,0,66.94,93,50,1,10,426,1,5,0,46,43,25,82,2,3.576923076923077,0.48936170212765956,49
0,5,3,141.9,143,17,2,5,854,0,6,0,12,8,57,58,2,2.4655172413793105,0.08333333333333333,17
4,5,3,357.54,463,33,3,5,577,1,5,0,37,29,28,43,2,15.96551724137931,0.07974137931034483,36
2,0,0,277.91,110,38,0,3,128,1,4,0,42,33,62,81,0,1.746031746031746,0.3783783783783784,44
6,1,2,486.16,69,47,2,6,88,0,6,0,48,47,31,71,1,2.15625,0.6857142857142857,47
7,4,0,462.1,31,6,3,10,694,2,1,0,1,3,68,67,2,0.4492753623188406,0.03125,4
1,2,2,70.79,180,28,0,9,928,0,7,1,24,36,76,98,2,2.3376623376623376,0.13259668508287292,34
4,0,1,283.65,390,56,1,11,293,0,7,0,59,47,52,42,2,7.3584905660377355,0.15089514066496162,63
0,3,0,49.41,54,18,3,10,608,1,5,0,18,23,65,70,2,0.8181818181818182,0.32727272727272727,24
2,4,0,450.78,129,56,0,6,354,2,2,0,60,50,56,93,1,2.263157894736842,0.46153846153846156,58
5,1,0,477.89,276,9,4,14,579,1,3,0,10,17,33,50,0,8.117647058823529,0.036101083032490974,12
0,1,0,66.94,367,32,1,3,293,2,2,0,36,25,71,46,2,5.097222222222222,0.09782608695652174,32
1,5,3,482.81,55,52,2,2,42,1,5,0,54,49,79,30,2,0.6875,0.9642857142857143,52
2,0,1,362.36,126,57,2,12,207,2,2,0,56,53,20,37,2,6.0,0.4409448818897638,58
6,0,2,292.13,330,56,2,2,380,2,1,0,54,63,22,80,0,14.347826086956522,0.16314199395770393,57
5,3,0,219.86,447,33,1,5,388,1,5,0,38,38,64,92,0,6.876923076923077,0.08482142857142858,40
6,1,2,486.16,466,24,2,13,615,1,3,0,26,20,44,63,1,10.355555555555556,0.055674518201284794,32
6,1,3,14.44,173,39,3,5,95,2,1,0,40,31,58,72,1,2.9322033898305087,0.22988505747126436,44
4,4,3,103.44,491,8,4,3,944,0,6,0,12,7,57,67,2,8.46551724137931,0.024390243902439025,10
5,4,3,241.29,337,48,0,12,808,0,6,0,51,49,22,53,1,14.652173913043478,0.15088757396449703,58
7,1,1,357.75,74,49,0,9,783,1,3,0,50,53,79,71,2,0.925,0.6666666666666666,51
5,2,3,458.29,53,32,0,6,358,1,5,0,34,26,31,82,2,1.65625,0.6296296296296297,37
7,1,1,362.34,64,48,1,2,445,2,1,0,53,38,53,72,2,1.1851851851851851,0.8153846153846154,53
5,4,3,241.29,108,25,0,5,356,1,4,0,27,22,48,83,1,2.204081632653061,0.24770642201834864,33
7,3,2,123.69,235,30,0,5,282,1,5,1,27,24,74,60,2,3.1333333333333333,0.11440677966101695,28
6,0,2,302.34,121,20,4,3,788,0,6,0,17,13,54,98,1,2.2,0.13934426229508196,23
7,1,3,94.68,385,21,4,14,390,1,5,0,20,22,28,87,2,13.275862068965518,0.05181347150259067,23
6,4,1,346.07,145,12,1,7,683,1,4,0,17,21,37,96,1,3.8157894736842106,0.11643835616438356,21
7,5,3,212.79,259,11,2,11,674,1,4,0,12,20,59,85,2,4.316666666666666,0.046153846153846156,14
1,2,1,446.05,146,37,0,10,230,1,4,1,42,33,23,45,1,6.083333333333333,0.2857142857142857,43
6,0,2,302.34,153,40,4,4,692,1,3,0,38,33,20,91,1,7.285714285714286,0.24675324675324675,45
3,3,3,117.96,354,59,4,11,683,2,1,1,63,58,60,98,2,5.80327868852459,0.17746478873239438,69
4,5,3,357.54,98,34,3,5,68,1,4,0,31,31,68,48,2,1.4202898550724639,0.31313131313131315,38
1,2,2,70.79,371,19,0,11,228,1,4,0,20,14,74,99,2,4.946666666666666,0.053763440860215055,22
0,4,1,175.0,163,12,0,2,275,2,1,0,17,4,49,72,1,3.26,0.10365853658536585,15
1,4,3,117.68,73,40,2,8,535,2,2,1,39,41,46,51,1,1.553191489361702,0.527027027027027,40
5,4,0,457.07,397,11,2,5,741,1,5,0,14,17,78,96,0,5.025316455696203,0.035175879396984924,18
2,1,3,267.32,126,32,2,11,206,2,2,0,37,29,54,40,1,2.290909090909091,0.29133858267716534,40
0,0,0,33.93,198,55,3,12,653,0,6,0,52,64,26,54,0,7.333333333333333,0.2613065326633166,61
2,3,1,405.0,376,52,1,4,601,2,1,0,48,47,47,49,2,7.833333333333333,0.1273209549071618,57
1,1,1,424.58,414,15,1,10,228,1,3,0,16,17,32,64,0,12.545454545454545,0.03855421686746988,21
0,5,3,141.9,494,38,2,2,437,2,1,0,39,44,43,52,2,11.227272727272727,0.07878787878787878,45
6,2,1,343.08,243,49,0,4,432,1,4,0,48,47,39,90,1,6.075,0.19672131147540983,54
6,2,1,343.08,260,26,0,2,974,1,4,0,29,33,31,35,1,8.125,0.1111111111111111,34
6,0,2,292.13,231,56,2,3,742,2,1,0,51,50,22,43,0,10.043478260869565,0.21982758620689655,53
7,4,0,462.1,161,39,3,2,276,1,4,0,40,33,69,58,2,2.3,0.24691358024691357,46
6,5,3,164.14,457,38,1,6,477,1,5,0,41,31,41,60,1,10.880952380952381,0.08951965065502183,37
7,1,3,94.68,304,41,4,11,721,1,5,1,37,45,21,74,2,13.818181818181818,0.12131147540983607,46
0,4,3,20.27,126,43,2,10,821,2,2,1,39,33,20,57,0,6.0,0.30708661417322836,39
5,4,0,457.07,35,17,2,2,423,1,3,0,15,10,56,74,0,0.6140350877192983,0.4166666666666667,23
2,3,2,142.33,301,36,2,13,697,1,3,0,35,35,41,49,2,7.166666666666667,0.11589403973509933,43
0,4,1,175.0,75,53,0,14,727,1,5,0,54,61,41,65,1,1.7857142857142858,0.7105263157894737,60
2,0,2,398.04,396,39,0,3,465,1,5,0,38,41,25,47,0,15.23076923076923,0.09571788413098237,41
1,5,0,410.5,48,20,0,12,413,2,2,0,24,16,54,31,0,0.8727272727272727,0.4897959183673469,20
5,4,0,335.8,42,36,3,8,263,1,3,0,35,34,39,88,1,1.05,0.813953488372093,35
5,2,3,156.68,64,25,4,5,1035,0,7,0,22,26,63,93,1,1.0,0.3384615384615385,33
5,4,0,457.07,347,51,2,6,410,1,5,0,47,61,70,48,0,4.887323943661972,0.13505747126436782,55
4,0,1,283.65,122,7,1,2,472,2,2,0,9,1,50,91,2,2.392156862745098,0.07317073170731707,8
3,4,3,204.5,43,26,3,9,646,1,5,0,27,27,68,32,1,0.6231884057971014,0.6136363636363636,32
2,0,2,398.04,329,39,0,10,882,1,3,1,42,46,74,86,0,4.386666666666667,0.12727272727272726,50
6,1,3,14.44,497,42,3,3,564,1,3,1,47,51,21,93,1,22.59090909090909,0.09437751004016064,54
7,1,3,94.68,380,17,4,9,238,2,2,0,21,26,52,91,2,7.169811320754717,0.05511811023622047,26
5,0,2,467.1,370,35,1,7,629,1,4,0,34,32,62,43,1,5.873015873015873,0.09164420485175202,43
7,1,2,188.49,280,53,4,6,438,1,4,0,56,57,47,87,2,5.833333333333333,0.199288256227758,62
3,0,0,61.98,329,51,4,4,820,0,7,0,48,60,79,37,1,4.1125,0.14545454545454545,59
5,1,0,477.89,98,28,4,7,477,1,5,0,26,31,56,49,0,1.719298245614035,0.26262626262626265,30
0,0,2,371.5,237,33,4,5,731,2,1,0,32,34,23,73,0,9.875,0.13445378151260504,32
4,5,3,346.65,498,25,1,10,775,1,3,0,29,34,46,73,1,10.595744680851064,0.05811623246492986,36
4,1,1,297.94,120,34,1,6,665,2,2,0,30,29,44,40,1,2.6666666666666665,0.24793388429752067,34
4,4,3,305.04,174,47,3,11,646,2,1,0,42,54,46,50,0,3.702127659574468,0.24,47
5,2,3,458.29,370,59,0,4,408,0,6,0,60,57,48,75,2,7.551020408163265,0.16172506738544473,60
0,0,2,127.2,189,50,3,8,828,0,6,0,48,54,67,52,1,2.7794117647058822,0.25263157894736843,50
0,0,2,127.2,295,38,3,11,191,0,6,0,41,30,35,31,1,8.194444444444445,0.13851351351351351,44
2,1,0,338.72,459,46,3,2,151,2,1,0,42,53,25,78,2,17.653846153846153,0.09130434782608696,49
2,1,3,56.6,265,19,4,8,299,1,5,0,18,10,42,38,2,6.162790697674419,0.06766917293233082,25
0,3,1,41.1,422,24,1,13,288,1,4,0,19,23,66,78,2,6.298507462686567,0.04491725768321513,26
6,0,2,292.13,40,22,2,10,588,1,4,0,21,14,69,33,0,0.5714285714285714,0.5121951219512195,28
0,3,1,41.1,319,30,1,10,350,2,1,0,33,35,30,39,2,10.290322580645162,0.103125,36
7,1,1,357.75,278,44,0,2,458,1,3,1,49,51,51,30,2,5.346153846153846,0.17562724014336917,48
6,0,2,302.34,225,46,4,8,313,0,6,0,51,37,33,82,1,6.617647058823529,0.22566371681415928,45
6,4,3,89.57,184,48,1,6,839,2,1,0,51,38,31,73,0,5.75,0.2756756756756757,49
3,3,3,348.06,445,44,4,9,130,2,2,0,44,36,47,34,0,9.270833333333334,0.09865470852017937,50
5,2,3,458.29,418,54,0,10,826,0,7,0,55,48,70,86,2,5.887323943661972,0.13126491646778043,58
0,1,2,184.21,92,41,3,14,656,1,3,0,42,49,39,90,1,2.3,0.45161290322580644,45
2,4,0,53.6,147,49,3,9,492,2,1,0,48,51,73,31,2,1.9864864864864864,0.32432432432432434,56
5,2,3,156.68,80,12,4,5,551,1,4,0,14,13,30,54,1,2.5806451612903225,0.1728395061728395,14
7,1,2,188.49,33,17,4,3,696,1,5,0,19,27,46,93,2,0.7021276595744681,0.5588235294117647,28
2,3,2,142.33,393,58,2,13,267,2,1,0,59,58,65,78,2,5.954545454545454,0.14974619289340102,64
6,2,1,343.08,131,9,0,8,302,0,7,0,13,15,35,88,1,3.638888888888889,0.09848484848484848,20
6,0,2,302.34,224,38,4,4,567,2,2,0,33,41,45,71,1,4.869565217391305,0.14666666666666667,41
2,4,0,319.2,243,56,2,11,403,1,3,1,59,50,53,75,0,4.5,0.24180327868852458,61
4,2,0,414.69,111,48,2,4,739,2,1,0,49,42,42,52,1,2.5813953488372094,0.4375,53
0,0,2,371.5,284,55,4,7,581,1,5,0,60,53,36,87,0,7.675675675675675,0.21052631578947367,61
4,1,1,297.94,274,27,1,13,161,1,5,0,22,35,26,36,1,10.148148148148149,0.08,32
0,4,3,20.27,266,34,2,8,784,1,4,0,36,41,58,39,0,4.508474576271187,0.1348314606741573,45
5,0,0,293.32,473,14,1,4,995,2,2,0,14,8,27,82,2,16.892857142857142,0.029535864978902954,21
4,5,3,357.54,345,50,3,12,692,2,2,0,49,56,41,82,2,8.214285714285714,0.1416184971098266,55
0,4,3,20.27,204,6,2,9,358,2,2,0,11,16,47,81,0,4.25,0.05365853658536585,16
0,4,3,20.27,408,40,2,2,350,2,2,0,41,43,73,56,0,5.513513513513513,0.10024449877750612,44
1,5,0,410.5,57,50,0,8,483,1,5,0,45,59,27,30,0,2.0357142857142856,0.7758620689655172,56
0,0,2,371.5,283,56,4,13,380,2,1,0,57,54,45,33,0,6.1521739130434785,0.2007042253521127,63
2,3,2,142.33,52,47,2,8,521,0,6,0,48,55,34,42,2,1.4857142857142858,0.9056603773584906,49
6,3,2,356.47,483,35,1,2,360,0,6,0,34,28,75,54,0,6.355263157894737,0.07024793388429752,41
4,5,3,357.54,494,19,3,4,417,1,5,0,17,23,65,85,2,7.484848484848484,0.03434343434343434,22
6,4,3,302.46,90,47,4,4,214,1,4,0,49,46,44,68,2,2.0,0.5384615384615384,49
1,1,1,424.58,167,49,1,6,422,1,4,0,49,51,61,48,0,2.693548387096774,0.2916666666666667,49
6,4,3,89.57,188,19,1,13,107,1,3,0,19,12,42,53,0,4.372093023255814,0.10052910052910052,23
6,3,2,356.47,324,41,1,7,383,0,6,0,45,34,21,46,0,14.727272727272727,0.13846153846153847,42
0,3,2,226.22,233,10,4,10,362,1,3,1,15,5,69,80,2,3.3285714285714287,0.0641025641025641,17
1,5,2,72.7,148,58,2,6,375,0,6,0,58,61,66,92,1,2.208955223880597,0.38926174496644295,65
6,2,1,259.78,141,59,2,9,125,1,4,0,63,67,71,93,1,1.9583333333333333,0.44366197183098594,68
6,5,3,164.14,453,25,1,7,294,1,5,0,30,18,69,51,1,6.4714285714285715,0.06607929515418502,26
2,1,0,338.72,185,13,3,11,244,0,6,0,15,14,57,93,2,3.189655172413793,0.08064516129032258,16
4,4,3,425.25,182,48,2,13,708,1,5,0,46,38,56,81,2,3.192982456140351,0.25136612021857924,51
1,5,0,410.5,74,27,0,7,374,2,2,0,29,21,37,66,0,1.9473684210526316,0.38666666666666666,34
0,0,2,127.2,411,32,3,2,511,0,6,0,34,29,62,38,1,6.523809523809524,0.0825242718446602,32
5,4,0,400.21,74,39,0,5,680,2,2,0,35,43,22,58,0,3.217391304347826,0.4666666666666667,47
1,2,2,70.79,66,16,0,3,36,1,5,0,12,13,47,47,2,1.375,0.1791044776119403,19
0,1,3,112.93,325,51,2,13,362,0,6,0,48,58,20,60,1,15.476190476190476,0.147239263803681,51
1,5,3,482.81,429,15,2,4,317,1,3,0,15,10,52,68,2,8.09433962264151,0.03488372093023256,23
