Category,Manufacturer,Medicine_Form,Price,Current_Stock,Quantity_Sold,Supplier_Name,Supplier_Lead_Time,Days_To_Expiry,Season,Month,Is_Festival,Avg_Last_7_Days_Sales,Avg_Last_30_Days_Sales,Safety_Stock,Reorder_Level,Storage_Requirements,Future_Demand
4,3,1,437.94,456,38,2,4,381,1,3,0,41,29,65,30,1,44
6,1,2,486.16,194,33,2,2,310,2,1,0,31,28,69,79,1,35
2,1,3,267.32,392,32,2,3,542,2,1,0,30,25,56,62,1,37
1,5,3,482.81,149,8,2,3,613,1,3,0,10,8,40,85,2,8
1,5,0,410.5,411,52,0,9,765,1,4,0,56,61,48,48,0,60
4,1,3,93.03,405,25,1,7,880,0,7,0,22,19,52,53,2,27
7,3,2,123.69,293,11,0,11,763,2,2,0,13,12,70,86,2,13
0,2,1,95.12,339,38,0,12,628,1,3,0,33,42,58,95,2,46
6,5,3,164.14,65,58,1,3,417,2,1,1,61,55,71,57,1,65
7,1,1,362.34,264,30,1,8,162,1,3,0,34,32,61,87,2,39
0,5,2,441.43,339,8,3,9,641,0,7,0,5,1,27,65,1,14
5,3,0,219.86,74,27,1,10,443,2,2,1,27,29,37,58,0,30
6,1,2,486.16,135,39,2,13,381,2,1,0,34,48,70,72,1,44
6,4,3,302.46,175,23,4,6,721,0,7,0,21,22,52,84,2,23
1,2,2,70.79,79,35,0,11,310,1,5,0,36,28,24,95,2,41
2,1,3,267.32,249,39,2,4,578,0,6,0,36,34,66,65,1,39
0,3,2,226.22,181,35,4,5,264,2,1,0,37,42,33,47,2,45
2,4,0,450.78,300,10,0,7,720,1,5,0,5,19,60,65,1,11
0,1,3,112.93,147,31,2,4,226,1,3,0,27,35,49,65,1,31
5,4,0,400.21,238,42,0,13,775,0,7,1,47,40,74,64,0,49
2,0,2,398.04,380,24,0,9,317,0,6,0,20,33,57,69,0,32
4,1,1,129.97,41,17,2,13,413,2,2,0,15,11,47,59,0,18
6,4,3,302.46,409,37,4,10,531,1,4,0,38,44,26,37,2,38
0,3,2,166.96,374,33,4,11,365,2,2,0,31,26,59,40,1,34
5,4,2,156.72,385,40,2,14,806,1,3,0,39,43,43,81,1,43
1,2,2,70.79,498,52,0,2,340,2,2,0,56,62,22,34,2,60
0,3,2,282.07,50,59,2,4,729,1,5,0,54,49,48,80,2,57
4,5,3,346.65,180,58,1,9,133,1,4,0,55,49,53,73,1,55
1,2,0,157.34,421,54,2,5,366,2,1,0,58,50,29,47,2,63
4,5,3,346.65,347,14,1,2,366,2,1,0,11,15,27,94,1,13
2,1,3,56.6,395,54,4,3,603,2,1,0,52,62,45,51,2,60
2,0,2,398.04,368,53,0,13,471,1,3,1,50,54,45,68,0,58
6,3,2,356.47,497,48,1,6,379,0,7,0,49,48,72,68,0,57
1,2,2,70.79,295,15,0,10,134,2,1,0,10,10,55,66,2,21
0,3,0,49.41,109,7,3,9,156,1,5,0,9,6,28,64,2,13
6,0,3,194.11,91,24,1,7,892,1,4,0,19,24,45,73,2,24
0,0,2,127.2,342,57,3,13,689,2,2,0,56,60,71,43,1,60
0,3,2,226.22,430,25,4,9,305,1,5,1,24,31,31,65,2,26
1,2,1,244.64,480,23,1,14,814,2,2,0,21,21,62,47,1,23
4,5,3,357.54,84,13,3,9,184,1,4,1,17,14,67,33,2,18
0,1,2,184.21,175,32,3,7,597,2,2,0,29,34,57,82,1,36
1,2,2,70.79,363,40,0,5,457,1,3,0,45,40,72,86,2,46
1,5,3,482.81,285,37,2,12,705,0,7,0,33,47,69,59,2,38
0,0,2,441.14,238,14,3,5,689,1,4,0,13,8,21,44,1,18
1,2,1,244.64,378,42,1,12,431,2,2,0,42,34,51,62,1,41
0,3,0,49.41,248,22,3,5,723,2,1,0,26,32,52,32,2,28
5,3,0,219.86,159,33,1,10,202,1,5,0,31,34,44,60,0,40
1,5,0,410.5,183,21,0,8,1024,0,6,0,26,11,78,95,0,29
5,2,3,156.68,39,10,4,4,682,2,2,0,14,13,76,66,1,11
4,4,1,82.18,265,44,2,14,849,2,1,0,49,46,45,52,2,52
3,0,0,61.98,440,12,4,14,166,1,5,0,10,11,32,92,1,13
0,0,2,127.2,349,37,3,4,223,1,3,0,39,46,44,43,1,43
5,2,3,458.29,484,32,0,7,934,1,3,0,36,39,71,62,2,35
7,1,3,346.55,316,11,1,5,353,1,3,1,12,12,71,59,0,17
6,3,2,356.47,78,37,1,11,540,1,4,0,42,27,46,59,0,44
2,4,0,450.78,377,49,0,10,522,1,4,0,51,59,54,73,1,52
5,2,3,156.68,190,41,4,11,414,2,2,0,38,39,79,72,1,40
4,5,3,357.54,137,37,3,4,459,0,6,0,35,42,49,46,2,40
5,2,3,156.68,459,59,4,10,229,1,3,0,64,50,70,91,1,64
6,4,1,346.07,99,26,1,8,591,2,2,0,25,34,62,44,1,28
6,5,3,467.69,271,52,2,6,219,1,5,0,56,56,27,44,0,58
2,5,2,325.92,273,38,3,14,669,2,2,0,41,33,46,60,0,39
0,1,2,184.21,354,51,3,2,333,0,7,0,49,44,38,98,1,53
6,0,1,444.0,468,24,1,9,115,2,1,0,22,27,46,88,0,30
6,0,2,292.13,130,20,2,6,350,2,1,0,25,10,61,90,0,19
5,2,3,156.68,289,7,4,4,905,2,2,1,6,4,74,97,1,10
4,3,1,437.94,362,52,2,13,711,1,5,0,47,44,24,85,1,52
5,3,0,219.86,473,14,1,12,675,1,5,0,16,5,65,74,0,18
7,1,1,357.75,499,20,0,3,767,2,1,0,17,12,44,82,2,26
2,0,2,398.04,434,42,0,5,815,2,2,0,42,33,60,82,0,41
7,1,1,362.34,314,19,1,3,350,1,4,0,19,26,26,98,2,29
1,2,1,446.05,331,59,0,7,476,0,7,0,56,50,39,30,1,57
7,1,1,362.34,379,12,1,4,1005,1,3,0,8,18,53,88,2,18
3,4,3,204.5,76,43,3,7,397,1,4,0,48,51,25,97,1,48
7,1,3,94.68,70,42,4,9,199,2,2,0,46,49,21,84,2,51
0,4,3,20.27,389,17,2,7,341,1,4,0,15,12,30,30,0,22
2,5,2,325.92,227,37,3,2,242,1,4,0,35,44,48,87,0,43
1,2,1,244.64,443,30,1,6,671,0,6,0,35,31,33,32,1,37
5,1,0,477.89,484,30,4,9,326,0,6,0,25,28,64,64,0,29
0,3,2,226.22,416,48,4,14,225,0,6,0,52,55,59,84,2,55
5,0,2,467.1,419,9,1,11,428,1,5,0,5,5,35,72,1,11
4,4,3,305.04,313,35,3,14,525,2,2,0,35,42,46,67,0,38
1,3,1,345.21,161,42,2,4,589,0,7,0,43,49,24,31,2,50
6,1,3,14.44,301,37,3,11,756,2,2,0,40,30,52,92,1,40
1,1,1,424.58,119,7,1,12,636,0,6,0,9,1,40,44,0,15
1,2,2,70.79,238,27,0,8,139,2,2,0,22,37,34,47,2,32
1,2,0,82.18,133,6,1,4,622,2,1,0,9,9,74,74,2,12
6,2,1,259.78,430,58,2,5,612,0,6,0,63,62,52,96,1,65
4,4,3,305.04,301,15,3,4,706,1,3,0,10,5,24,46,0,12
0,3,1,41.1,121,14,1,9,271,1,5,1,12,23,36,93,2,22
1,1,1,424.58,127,32,1,12,151,1,4,0,31,39,54,87,0,40
0,0,3,259.97,206,13,0,9,197,1,5,0,10,16,65,46,1,13
7,1,2,188.49,266,5,4,6,255,1,3,0,3,9,67,68,2,11
0,4,3,20.27,98,15,2,11,833,1,4,0,14,17,46,63,0,23
3,3,3,348.06,403,6,4,2,591,1,3,0,4,1,49,30,0,10
0,3,0,49.41,30,47,3,3,685,0,7,0,42,44,53,42,2,48
1,2,1,446.05,34,35,0,12,528,2,1,0,35,42,64,70,1,43
4,1,1,297.94,193,24,1,9,619,1,5,0,19,33,79,75,1,31
2,2,1,323.23,174,12,4,5,873,1,4,0,17,22,41,46,1,24
2,0,2,291.67,369,34,1,3,815,1,4,0,39,37,60,43,1,45
0,0,2,441.14,252,7,3,2,751,2,1,0,10,17,62,56,1,9
5,2,3,458.29,293,13,0,7,901,2,1,1,17,10,29,94,2,21
2,3,2,142.33,207,23,2,4,736,1,4,0,24,20,34,45,2,25
2,0,0,449.03,306,9,3,8,753,1,4,0,5,13,54,94,1,16
4,1,1,129.97,117,44,2,4,756,1,4,0,43,48,45,54,0,46
4,4,3,305.04,133,21,3,10,707,2,2,0,16,15,75,93,0,25
2,0,3,246.09,106,37,0,12,768,1,3,0,35,34,57,68,0,38
0,1,0,66.94,93,50,1,10,426,1,5,0,46,43,25,82,2,49
0,5,3,141.9,143,17,2,5,854,0,6,0,12,8,57,58,2,17
4,5,3,357.54,463,33,3,5,577,1,5,0,37,29,28,43,2,36
2,0,0,277.91,110,38,0,3,128,1,4,0,42,33,62,81,0,44
6,1,2,486.16,69,47,2,6,88,0,6,0,48,47,31,71,1,47
7,4,0,462.1,31,6,3,10,694,2,1,0,1,3,68,67,2,4
1,2,2,70.79,180,28,0,9,928,0,7,1,24,36,76,98,2,34
4,0,1,283.65,390,56,1,11,293,0,7,0,59,47,52,42,2,63
0,3,0,49.41,54,18,3,10,608,1,5,0,18,23,65,70,2,24
2,4,0,450.78,129,56,0,6,354,2,2,0,60,50,56,93,1,58
5,1,0,477.89,276,9,4,14,579,1,3,0,10,17,33,50,0,12
0,1,0,66.94,367,32,1,3,293,2,2,0,36,25,71,46,2,32
1,5,3,482.81,55,52,2,2,42,1,5,0,54,49,79,30,2,52
2,0,1,362.36,126,57,2,12,207,2,2,0,56,53,20,37,2,58
6,0,2,292.13,330,56,2,2,380,2,1,0,54,63,22,80,0,57
5,3,0,219.86,447,33,1,5,388,1,5,0,38,38,64,92,0,40
6,1,2,486.16,466,24,2,13,615,1,3,0,26,20,44,63,1,32
6,1,3,14.44,173,39,3,5,95,2,1,0,40,31,58,72,1,44
4,4,3,103.44,491,8,4,3,944,0,6,0,12,7,57,67,2,10
5,4,3,241.29,337,48,0,12,808,0,6,0,51,49,22,53,1,58
7,1,1,357.75,74,49,0,9,783,1,3,0,50,53,79,71,2,51
5,2,3,458.29,53,32,0,6,358,1,5,0,34,26,31,82,2,37
7,1,1,362.34,64,48,1,2,445,2,1,0,53,38,53,72,2,53
5,4,3,241.29,108,25,0,5,356,1,4,0,27,22,48,83,1,33
7,3,2,123.69,235,30,0,5,282,1,5,1,27,24,74,60,2,28
6,0,2,302.34,121,20,4,3,788,0,6,0,17,13,54,98,1,23
7,1,3,94.68,385,21,4,14,390,1,5,0,20,22,28,87,2,23
6,4,1,346.07,145,12,1,7,683,1,4,0,17,21,37,96,1,21
7,5,3,212.79,259,11,2,11,674,1,4,0,12,20,59,85,2,14
1,2,1,446.05,146,37,0,10,230,1,4,1,42,33,23,45,1,43
6,0,2,302.34,153,40,4,4,692,1,3,0,38,33,20,91,1,45
3,3,3,117.96,354,59,4,11,683,2,1,1,63,58,60,98,2,69
4,5,3,357.54,98,34,3,5,68,1,4,0,31,31,68,48,2,38
1,2,2,70.79,371,19,0,11,228,1,4,0,20,14,74,99,2,22
0,4,1,175.0,163,12,0,2,275,2,1,0,17,4,49,72,1,15
1,4,3,117.68,73,40,2,8,535,2,2,1,39,41,46,51,1,40
5,4,0,457.07,397,11,2,5,741,1,5,0,14,17,78,96,0,18
2,1,3,267.32,126,32,2,11,206,2,2,0,37,29,54,40,1,40
0,0,0,33.93,198,55,3,12,653,0,6,0,52,64,26,54,0,61
2,3,1,405.0,376,52,1,4,601,2,1,0,48,47,47,49,2,57
1,1,1,424.58,414,15,1,10,228,1,3,0,16,17,32,64,0,21
0,5,3,141.9,494,38,2,2,437,2,1,0,39,44,43,52,2,45
6,2,1,343.08,243,49,0,4,432,1,4,0,48,47,39,90,1,54
6,2,1,343.08,260,26,0,2,974,1,4,0,29,33,31,35,1,34
6,0,2,292.13,231,56,2,3,742,2,1,0,51,50,22,43,0,53
7,4,0,462.1,161,39,3,2,276,1,4,0,40,33,69,58,2,46
6,5,3,164.14,457,38,1,6,477,1,5,0,41,31,41,60,1,37
7,1,3,94.68,304,41,4,11,721,1,5,1,37,45,21,74,2,46
0,4,3,20.27,126,43,2,10,821,2,2,1,39,33,20,57,0,39
5,4,0,457.07,35,17,2,2,423,1,3,0,15,10,56,74,0,23
2,3,2,142.33,301,36,2,13,697,1,3,0,35,35,41,49,2,43
0,4,1,175.0,75,53,0,14,727,1,5,0,54,61,41,65,1,60
2,0,2,398.04,396,39,0,3,465,1,5,0,38,41,25,47,0,41
1,5,0,410.5,48,20,0,12,413,2,2,0,24,16,54,31,0,20
5,4,0,335.8,42,36,3,8,263,1,3,0,35,34,39,88,1,35
5,2,3,156.68,64,25,4,5,1035,0,7,0,22,26,63,93,1,33
5,4,0,457.07,347,51,2,6,410,1,5,0,47,61,70,48,0,55
4,0,1,283.65,122,7,1,2,472,2,2,0,9,1,50,91,2,8
3,4,3,204.5,43,26,3,9,646,1,5,0,27,27,68,32,1,32
2,0,2,398.04,329,39,0,10,882,1,3,1,42,46,74,86,0,50
6,1,3,14.44,497,42,3,3,564,1,3,1,47,51,21,93,1,54
7,1,3,94.68,380,17,4,9,238,2,2,0,21,26,52,91,2,26
5,0,2,467.1,370,35,1,7,629,1,4,0,34,32,62,43,1,43
7,1,2,188.49,280,53,4,6,438,1,4,0,56,57,47,87,2,62
3,0,0,61.98,329,51,4,4,820,0,7,0,48,60,79,37,1,59
5,1,0,477.89,98,28,4,7,477,1,5,0,26,31,56,49,0,30
0,0,2,371.5,237,33,4,5,731,2,1,0,32,34,23,73,0,32
4,5,3,346.65,498,25,1,10,775,1,3,0,29,34,46,73,1,36
4,1,1,297.94,120,34,1,6,665,2,2,0,30,29,44,40,1,34
4,4,3,305.04,174,47,3,11,646,2,1,0,42,54,46,50,0,47
5,2,3,458.29,370,59,0,4,408,0,6,0,60,57,48,75,2,60
0,0,2,127.2,189,50,3,8,828,0,6,0,48,54,67,52,1,50
0,0,2,127.2,295,38,3,11,191,0,6,0,41,30,35,31,1,44
2,1,0,338.72,459,46,3,2,151,2,1,0,42,53,25,78,2,49
2,1,3,56.6,265,19,4,8,299,1,5,0,18,10,42,38,2,25
0,3,1,41.1,422,24,1,13,288,1,4,0,19,23,66,78,2,26
6,0,2,292.13,40,22,2,10,588,1,4,0,21,14,69,33,0,28
0,3,1,41.1,319,30,1,10,350,2,1,0,33,35,30,39,2,36
7,1,1,357.75,278,44,0,2,458,1,3,1,49,51,51,30,2,48
6,0,2,302.34,225,46,4,8,313,0,6,0,51,37,33,82,1,45
6,4,3,89.57,184,48,1,6,839,2,1,0,51,38,31,73,0,49
3,3,3,348.06,445,44,4,9,130,2,2,0,44,36,47,34,0,50
5,2,3,458.29,418,54,0,10,826,0,7,0,55,48,70,86,2,58
0,1,2,184.21,92,41,3,14,656,1,3,0,42,49,39,90,1,45
2,4,0,53.6,147,49,3,9,492,2,1,0,48,51,73,31,2,56
5,2,3,156.68,80,12,4,5,551,1,4,0,14,13,30,54,1,14
7,1,2,188.49,33,17,4,3,696,1,5,0,19,27,46,93,2,28
2,3,2,142.33,393,58,2,13,267,2,1,0,59,58,65,78,2,64
6,2,1,343.08,131,9,0,8,302,0,7,0,13,15,35,88,1,20
6,0,2,302.34,224,38,4,4,567,2,2,0,33,41,45,71,1,41
2,4,0,319.2,243,56,2,11,403,1,3,1,59,50,53,75,0,61
4,2,0,414.69,111,48,2,4,739,2,1,0,49,42,42,52,1,53
0,0,2,371.5,284,55,4,7,581,1,5,0,60,53,36,87,0,61
4,1,1,297.94,274,27,1,13,161,1,5,0,22,35,26,36,1,32
0,4,3,20.27,266,34,2,8,784,1,4,0,36,41,58,39,0,45
5,0,0,293.32,473,14,1,4,995,2,2,0,14,8,27,82,2,21
4,5,3,357.54,345,50,3,12,692,2,2,0,49,56,41,82,2,55
0,4,3,20.27,204,6,2,9,358,2,2,0,11,16,47,81,0,16
0,4,3,20.27,408,40,2,2,350,2,2,0,41,43,73,56,0,44
1,5,0,410.5,57,50,0,8,483,1,5,0,45,59,27,30,0,56
0,0,2,371.5,283,56,4,13,380,2,1,0,57,54,45,33,0,63
2,3,2,142.33,52,47,2,8,521,0,6,0,48,55,34,42,2,49
6,3,2,356.47,483,35,1,2,360,0,6,0,34,28,75,54,0,41
4,5,3,357.54,494,19,3,4,417,1,5,0,17,23,65,85,2,22
6,4,3,302.46,90,47,4,4,214,1,4,0,49,46,44,68,2,49
1,1,1,424.58,167,49,1,6,422,1,4,0,49,51,61,48,0,49
6,4,3,89.57,188,19,1,13,107,1,3,0,19,12,42,53,0,23
6,3,2,356.47,324,41,1,7,383,0,6,0,45,34,21,46,0,42
0,3,2,226.22,233,10,4,10,362,1,3,1,15,5,69,80,2,17
1,5,2,72.7,148,58,2,6,375,0,6,0,58,61,66,92,1,65
6,2,1,259.78,141,59,2,9,125,1,4,0,63,67,71,93,1,68
6,5,3,164.14,453,25,1,7,294,1,5,0,30,18,69,51,1,26
2,1,0,338.72,185,13,3,11,244,0,6,0,15,14,57,93,2,16
4,4,3,425.25,182,48,2,13,708,1,5,0,46,38,56,81,2,51
1,5,0,410.5,74,27,0,7,374,2,2,0,29,21,37,66,0,34
0,0,2,127.2,411,32,3,2,511,0,6,0,34,29,62,38,1,32
5,4,0,400.21,74,39,0,5,680,2,2,0,35,43,22,58,0,47
1,2,2,70.79,66,16,0,3,36,1,5,0,12,13,47,47,2,19
0,1,3,112.93,325,51,2,13,362,0,6,0,48,58,20,60,1,51
1,5,3,482.81,429,15,2,4,317,1,3,0,15,10,52,68,2,23
0,3,2,166.96,194,43,4,11,348,1,4,0,41,47,41,65,1,45
6,4,3,302.46,41,43,4,10,678,1,5,0,39,45,65,56,2,42
5,4,2,156.72,447,18,2,3,354,2,1,0,16,22,22,39,1,22
0,3,2,282.07,255,48,2,6,408,0,6,1,49,50,36,95,2,52
1,2,0,157.34,198,52,2,4,237,1,3,0,57,52,55,41,2,60
7,0,2,57.78,393,6,2,14,234,0,6,0,7,14,41,47,1,12
0,0,0,33.93,295,22,3,9,346,2,1,1,19,21,62,49,0,20
2,0,0,277.91,278,19,0,11,461,1,3,0,20,14,51,37,0,20
0,0,0,33.93,343,17,3,12,228,1,3,0,13,16,68,74,0,22
4,2,0,414.69,61,48,2,13,610,1,3,1,52,39,76,98,1,56
6,0,1,444.0,223,8,1,13,669,1,3,0,6,6,68,52,0,10
7,1,1,357.75,156,56,0,6,912,2,1,0,58,51,26,81,2,61
2,5,3,53.22,79,16,2,12,591,1,3,0,13,25,52,47,0,17
4,1,1,297.94,418,41,1,6,288,0,6,0,45,39,45,54,1,47
5,3,0,219.86,353,6,1,2,421,0,7,0,4,10,39,41,0,10
7,4,0,462.1,189,12,3,6,283,1,3,0,8,10,77,75,2,15
0,1,2,184.21,376,55,3,12,620,1,4,0,58,57,32,74,1,59
4,4,3,425.25,171,53,2,9,874,0,6,1,50,47,38,96,2,50
5,2,3,156.68,196,33,4,10,219,1,4,0,38,32,54,68,1,41
1,4,3,117.68,83,8,2,4,672,1,3,0,11,6,32,71,1,16
5,0,2,467.1,125,38,1,7,545,2,2,0,37,45,27,98,1,46
7,3,2,123.69,308,50,0,6,652,2,1,1,52,47,78,88,2,56
0,2,1,95.12,252,20,0,8,858,2,1,0,20,16,29,63,2,26
2,1,3,267.32,46,15,2,14,595,2,1,0,20,12,31,73,1,24
1,5,3,482.81,410,56,2,11,529,1,4,0,55,52,35,96,2,62
0,3,2,282.07,392,51,2,13,587,1,4,0,47,52,43,80,2,58
2,4,0,319.2,394,25,2,11,286,1,4,0,24,20,29,56,0,26
2,0,2,398.04,212,57,0,2,659,1,4,0,52,56,23,53,0,64
5,4,3,241.29,458,44,0,14,758,2,1,0,44,50,74,77,1,47
1,5,0,410.5,59,31,0,9,818,1,3,0,28,29,61,74,0,35
7,4,0,462.1,244,11,3,12,874,1,5,0,10,5,67,76,2,15
0,0,2,441.14,239,36,3,11,274,0,6,0,38,46,45,79,1,40
5,4,3,241.29,78,52,0,11,485,1,5,0,48,57,25,77,1,58
1,4,3,117.68,61,45,2,2,216,2,1,0,46,46,63,43,1,51
6,3,2,356.47,108,29,1,5,326,2,1,0,31,29,29,39,0,34
4,0,1,283.65,356,26,1,10,387,2,2,0,22,31,67,39,2,31
3,5,2,26.51,167,29,3,14,296,2,2,0,25,35,63,88,0,38
6,1,2,486.16,223,51,2,12,283,1,3,1,47,47,71,85,1,56
0,1,3,112.93,398,31,2,14,649,0,6,0,26,32,39,64,1,36
4,5,3,346.65,88,8,1,13,383,1,4,0,11,10,29,82,1,9
1,2,2,70.79,187,24,0,10,728,0,6,0,25,18,21,87,2,27
5,1,0,477.89,117,34,4,7,455,1,5,0,37,24,69,44,0,41
2,1,0,338.72,344,44,3,3,391,1,5,0,39,40,22,38,2,50
5,4,3,241.29,88,19,0,4,399,1,3,1,17,10,28,89,1,23
0,1,2,184.21,194,38,3,6,244,1,4,0,40,44,79,67,1,40
1,2,1,244.64,345,57,1,10,544,2,1,0,59,56,60,50,1,64
2,5,3,53.22,432,55,2,8,114,1,4,0,60,46,50,39,0,58
3,3,3,117.96,441,43,4,3,251,2,2,0,38,43,57,96,2,43
2,5,2,325.92,227,9,3,12,290,2,1,0,11,1,42,37,0,16
1,2,0,157.34,279,9,2,14,688,2,2,0,5,1,73,69,2,13
1,4,3,117.68,306,5,2,9,769,2,2,0,1,2,30,73,1,7
1,1,1,424.58,265,22,1,6,154,0,6,0,24,26,69,33,0,29
0,4,3,20.27,41,29,2,7,452,1,5,0,30,22,27,57,0,30
7,1,3,94.68,178,34,4,11,360,1,4,0,39,35,45,62,2,44
1,2,0,157.34,245,59,2,2,752,1,5,1,64,69,53,46,2,67
0,3,2,226.22,155,12,4,13,930,0,6,1,7,16,73,33,2,18
0,0,2,127.2,98,5,3,11,977,0,6,0,3,6,79,56,1,11
6,0,1,444.0,309,52,1,14,740,1,4,0,53,49,71,67,0,53
1,5,0,410.5,470,27,0,4,166,1,5,0,22,17,68,81,0,31
7,1,1,362.34,470,6,1,7,332,0,7,0,7,9,66,56,2,8
2,5,2,325.92,39,39,3,13,673,0,6,0,41,30,70,61,0,46
4,5,3,357.54,272,9,3,3,864,1,3,0,7,1,30,91,2,15
0,1,0,66.94,349,23,1,8,993,2,2,0,28,29,65,34,2,30
4,4,3,425.25,473,27,2,6,327,1,4,0,29,26,57,99,2,31
6,1,3,14.44,382,50,3,8,740,1,5,0,51,45,39,33,1,54
3,4,3,204.5,160,59,3,4,719,1,3,0,62,50,55,37,1,66
5,1,0,477.89,320,41,4,7,656,2,2,0,39,35,36,43,0,42
6,0,1,444.0,233,39,1,12,310,1,5,0,34,34,75,46,0,36
6,4,3,89.57,388,54,1,11,594,2,1,0,50,60,78,95,0,63
6,4,0,408.86,49,22,1,6,774,2,2,1,24,19,75,38,2,27
2,0,0,449.03,329,25,3,13,310,1,5,0,21,21,71,39,1,24
1,5,2,72.7,434,14,2,14,489,1,4,0,15,12,26,48,1,22
6,3,2,356.47,329,55,1,11,152,1,3,0,59,52,75,38,0,62
6,1,3,14.44,407,19,3,7,405,1,3,0,20,20,46,35,1,23
7,5,3,212.79,58,38,2,10,206,1,4,0,41,43,21,30,2,47
1,2,0,82.18,326,49,1,7,590,0,6,1,51,57,63,88,2,59
0,3,2,226.22,116,44,4,10,948,1,5,0,41,40,58,64,2,46
2,0,0,277.91,76,38,0,10,541,2,2,0,39,41,42,59,0,45
3,0,0,61.98,429,6,4,14,359,1,3,0,10,7,27,72,1,16
4,2,0,414.69,372,8,2,10,289,1,4,0,12,5,24,47,1,16
1,2,0,157.34,389,5,2,10,262,1,4,0,9,1,73,74,2,7
7,4,0,462.1,354,58,3,3,136,2,2,0,59,52,35,50,2,58
1,5,0,410.5,485,51,0,7,942,0,6,0,47,50,70,43,0,51
6,0,3,194.11,458,26,1,8,873,1,5,0,28,35,73,43,2,30
0,0,0,33.93,279,52,3,11,507,1,3,0,49,56,27,60,0,57
3,4,3,204.5,404,39,3,12,723,1,4,0,35,42,29,36,1,40
7,1,3,346.55,172,54,1,8,788,1,4,0,59,56,62,30,0,60
4,5,3,346.65,199,48,1,7,900,1,5,0,52,41,49,54,1,54
6,5,3,467.69,402,52,2,8,533,0,7,0,55,55,72,65,0,59
3,3,3,117.96,240,9,4,7,483,2,2,0,13,7,46,50,2,16
2,1,0,338.72,68,22,3,10,293,2,2,0,19,18,61,85,2,28
6,4,1,346.07,455,8,1,3,709,1,5,0,10,3,30,95,1,8
7,3,2,123.69,492,40,0,2,879,0,6,0,41,34,21,84,2,48
5,1,0,477.89,444,55,4,13,227,1,5,0,52,60,59,91,0,58
1,2,1,446.05,410,20,0,6,612,1,3,0,17,20,30,32,1,22
5,4,0,335.8,268,28,3,4,899,2,2,0,31,28,68,81,1,33
4,5,3,357.54,302,52,3,14,407,1,4,0,51,59,59,32,2,53
5,2,3,458.29,272,13,0,8,246,1,4,0,16,8,27,36,2,14
4,4,3,425.25,108,36,2,6,119,1,4,0,37,32,78,67,2,38
3,4,3,204.5,110,20,3,13,745,0,6,0,16,25,54,88,1,27
0,3,1,41.1,110,18,1,7,623,2,2,0,20,25,29,93,2,25
0,1,2,184.21,73,45,3,11,1024,0,6,0,50,45,40,49,1,54
1,3,1,345.21,433,12,2,2,376,2,1,0,12,10,61,36,2,19
0,3,2,282.07,275,45,2,14,226,2,1,0,44,44,42,96,2,53
0,3,2,282.07,263,33,2,4,461,0,6,0,37,31,45,71,2,40
3,4,3,204.5,336,16,3,11,792,1,4,0,13,17,64,45,1,22
0,3,1,41.1,47,56,1,3,625,0,6,0,56,49,62,63,2,55
0,3,1,41.1,127,49,1,12,232,1,5,0,45,47,41,87,2,56
6,0,3,194.11,271,5,1,6,447,0,7,0,1,10,74,66,2,7
